phase,K,a,y,x,c,x_phase_a,source_type,retarded_type,advanced_route,advanced_type_or_tail,target_count,retarded_visible_count,advanced_full_count,advanced_phase_a_count,advanced_visible_phase_a_count,advanced_tail_phase_a_count,atom_tail_count,phase_loss_tail_count,visible_total,q_total,capture_fraction,tail_fraction,partition_pass,disjoint_pass,phase_subset_pass,route_pass,denominator_pass,all_hooks_pass
calibration,5,5,8,1280,3,1152,d5:r5:podd:b0,d5:r20:peven:b2,visible,d4:r3:podd:b0,474,463,9,9,9,0,2,0,472,2,0.995780590717,0.004219409283,yes,yes,yes,yes,yes,yes
calibration,5,5,9,2560,3,2304,d5:r5:podd:b0,d5:r20:peven:b2,visible,d4:r3:podd:b0,934,922,10,10,10,0,2,0,932,2,0.997858672377,0.002141327623,yes,yes,yes,yes,yes,yes
calibration,5,5,10,5120,3,4608,d5:r5:podd:b0,d5:r20:peven:b2,visible,d4:r3:podd:b0,3017,3004,11,11,11,0,2,0,3015,2,0.999337089824,0.000662910176,yes,yes,yes,yes,yes,yes
calibration,5,8,8,2048,5,1920,d5:r8:peven:b2,d5:r32:peven:b2,visible,d4:r5:podd:b0,807,91,714,677,677,0,2,37,768,39,0.951672862454,0.048327137546,yes,yes,yes,yes,yes,yes
calibration,5,8,9,4096,5,3840,d5:r8:peven:b2,d5:r32:peven:b2,visible,d4:r5:podd:b0,1597,165,1430,1320,1320,0,2,110,1485,112,0.929868503444,0.070131496556,yes,yes,yes,yes,yes,yes
calibration,5,8,10,8192,5,7680,d5:r8:peven:b2,d5:r32:peven:b2,visible,d4:r5:podd:b0,5087,353,4732,4455,4455,0,2,277,4808,279,0.945154314920,0.054845685080,yes,yes,yes,yes,yes,yes
calibration,5,11,8,2816,7,2688,d5:r11:podd:b0,d5:r44:peven:b2,visible,d4:r7:podd:b0,723,450,271,260,260,0,2,11,710,13,0.982019363762,0.017980636238,yes,yes,yes,yes,yes,yes
calibration,5,11,9,5632,7,5376,d5:r11:podd:b0,d5:r44:peven:b2,visible,d4:r7:podd:b0,1385,820,563,532,532,0,2,31,1352,33,0.976173285199,0.023826714801,yes,yes,yes,yes,yes,yes
calibration,5,11,10,11264,7,10752,d5:r11:podd:b0,d5:r44:peven:b2,visible,d4:r7:podd:b0,2728,1606,1120,1062,1062,0,2,58,2668,60,0.978005865103,0.021994134897,yes,yes,yes,yes,yes,yes
calibration,5,14,8,3584,9,3456,d5:r14:peven:b1,d5:r56:peven:b2,visible,d4:r9:podd:b0,342,331,9,9,9,0,2,0,340,2,0.994152046784,0.005847953216,yes,yes,yes,yes,yes,yes
calibration,5,14,9,7168,9,6912,d5:r14:peven:b1,d5:r56:peven:b2,visible,d4:r9:podd:b0,738,726,10,10,10,0,2,0,736,2,0.997289972900,0.002710027100,yes,yes,yes,yes,yes,yes
calibration,5,14,10,14336,9,13824,d5:r14:peven:b1,d5:r56:peven:b2,visible,d4:r9:podd:b0,1381,1368,11,11,11,0,2,0,1379,2,0.998551774077,0.001448225923,yes,yes,yes,yes,yes,yes
calibration,5,17,8,4352,11,4224,d5:r17:podd:b0,d5:r68:peven:b2,visible,d4:r11:podd:b0,1182,80,1100,1066,1066,0,2,34,1146,36,0.969543147208,0.030456852792,yes,yes,yes,yes,yes,yes
calibration,5,17,9,8704,11,8448,d5:r17:podd:b0,d5:r68:peven:b2,visible,d4:r11:podd:b0,2306,126,2178,2109,2109,0,2,69,2235,71,0.969210754553,0.030789245447,yes,yes,yes,yes,yes,yes
calibration,5,17,10,17408,11,16896,d5:r17:podd:b0,d5:r68:peven:b2,visible,d4:r11:podd:b0,4290,221,4067,3929,3929,0,2,138,4150,140,0.967365967366,0.032634032634,yes,yes,yes,yes,yes,yes
calibration,5,20,8,5120,13,4992,d5:r20:peven:b2,d5:r80:peven:b2,visible,d4:r13:podd:b0,3004,1571,1431,1394,1394,0,2,37,2965,39,0.987017310253,0.012982689747,yes,yes,yes,yes,yes,yes
calibration,5,20,9,10240,13,9984,d5:r20:peven:b2,d5:r80:peven:b2,visible,d4:r13:podd:b0,5789,3027,2760,2692,2692,0,2,68,5719,70,0.987908101572,0.012091898428,yes,yes,yes,yes,yes,yes
calibration,5,20,10,20480,13,19968,d5:r20:peven:b2,d5:r80:peven:b2,visible,d4:r13:podd:b0,11498,6041,5455,5330,5330,0,2,125,11371,127,0.988954600800,0.011045399200,yes,yes,yes,yes,yes,yes
calibration,5,23,8,5888,15,5760,d5:r23:podd:b0,d5:r92:peven:b2,visible,d4:r15:podd:b0,1662,1651,9,9,9,0,2,0,1660,2,0.998796630566,0.001203369434,yes,yes,yes,yes,yes,yes
calibration,5,23,9,11776,15,11520,d5:r23:podd:b0,d5:r92:peven:b2,visible,d4:r15:podd:b0,3346,3334,10,10,10,0,2,0,3344,2,0.999402271369,0.000597728631,yes,yes,yes,yes,yes,yes
calibration,5,23,10,23552,15,23040,d5:r23:podd:b0,d5:r92:peven:b2,visible,d4:r15:podd:b0,6625,6612,11,11,11,0,2,0,6623,2,0.999698113208,0.000301886792,yes,yes,yes,yes,yes,yes
calibration,5,26,8,6656,17,6528,d5:r26:peven:b1,d5:r104:peven:b2,visible,d4:r17:podd:b0,1888,81,1805,1725,1725,0,2,80,1806,82,0.956567796610,0.043432203390,yes,yes,yes,yes,yes,yes
calibration,5,26,9,13312,17,13056,d5:r26:peven:b1,d5:r104:peven:b2,visible,d4:r17:podd:b0,3509,137,3370,3304,3304,0,2,66,3441,68,0.980621259618,0.019378740382,yes,yes,yes,yes,yes,yes
calibration,5,26,10,26624,17,26112,d5:r26:peven:b1,d5:r104:peven:b2,visible,d4:r17:podd:b0,6901,223,6676,6579,6579,0,2,97,6802,99,0.985654253007,0.014345746993,yes,yes,yes,yes,yes,yes
calibration,5,29,8,7424,19,7296,d5:r29:podd:b0,d5:r116:peven:b2,visible,d4:r19:podd:b0,1060,306,752,744,744,0,2,8,1050,10,0.990566037736,0.009433962264,yes,yes,yes,yes,yes,yes
calibration,5,29,9,14848,19,14592,d5:r29:podd:b0,d5:r116:peven:b2,visible,d4:r19:podd:b0,1937,533,1402,1384,1384,0,2,18,1917,20,0.989674754775,0.010325245225,yes,yes,yes,yes,yes,yes
calibration,5,29,10,29696,19,29184,d5:r29:podd:b0,d5:r116:peven:b2,visible,d4:r19:podd:b0,3679,1043,2634,2578,2578,0,2,56,3621,58,0.984234846426,0.015765153574,yes,yes,yes,yes,yes,yes
calibration,5,32,8,8192,21,8064,d5:r32:peven:b2,d5:r128:peven:b2,visible,d4:r21:podd:b0,353,342,9,9,9,0,2,0,351,2,0.994334277620,0.005665722380,yes,yes,yes,yes,yes,yes
calibration,5,32,9,16384,21,16128,d5:r32:peven:b2,d5:r128:peven:b2,visible,d4:r21:podd:b0,659,647,10,10,10,0,2,0,657,2,0.996965098634,0.003034901366,yes,yes,yes,yes,yes,yes
calibration,5,32,10,32768,21,32256,d5:r32:peven:b2,d5:r128:peven:b2,visible,d4:r21:podd:b0,1244,1231,11,11,11,0,2,0,1242,2,0.998392282958,0.001607717042,yes,yes,yes,yes,yes,yes
calibration,5,35,8,8960,23,8832,d5:r35:podd:b0,d5:r140:peven:b2,visible,d4:r23:podd:b0,2572,88,2482,2450,2450,0,2,32,2538,34,0.986780715397,0.013219284603,yes,yes,yes,yes,yes,yes
calibration,5,35,9,17920,23,17664,d5:r35:podd:b0,d5:r140:peven:b2,visible,d4:r23:podd:b0,5231,177,5052,4985,4985,0,2,67,5162,69,0.986809405467,0.013190594533,yes,yes,yes,yes,yes,yes
calibration,5,35,10,35840,23,35328,d5:r35:podd:b0,d5:r140:peven:b2,visible,d4:r23:podd:b0,10209,311,9896,9768,9768,0,2,128,10079,130,0.987266137722,0.012733862278,yes,yes,yes,yes,yes,yes
calibration,5,38,8,9728,25,9600,d5:r38:peven:b1,d5:r152:peven:b2,visible,d4:r25:podd:b0,952,766,184,184,184,0,2,0,950,2,0.997899159664,0.002100840336,yes,yes,yes,yes,yes,yes
calibration,5,38,9,19456,25,19200,d5:r38:peven:b1,d5:r152:peven:b2,visible,d4:r25:podd:b0,1820,1463,355,355,355,0,2,0,1818,2,0.998901098901,0.001098901099,yes,yes,yes,yes,yes,yes
calibration,5,38,10,38912,25,38400,d5:r38:peven:b1,d5:r152:peven:b2,visible,d4:r25:podd:b0,3468,2802,664,664,664,0,2,0,3466,2,0.999423298731,0.000576701269,yes,yes,yes,yes,yes,yes
calibration,5,41,8,10496,27,10368,d5:r41:podd:b0,d5:r164:peven:b2,visible,d4:r27:podd:b0,329,318,9,9,9,0,2,0,327,2,0.993920972644,0.006079027356,yes,yes,yes,yes,yes,yes
calibration,5,41,9,20992,27,20736,d5:r41:podd:b0,d5:r164:peven:b2,visible,d4:r27:podd:b0,750,738,10,10,10,0,2,0,748,2,0.997333333333,0.002666666667,yes,yes,yes,yes,yes,yes
calibration,5,41,10,41984,27,41472,d5:r41:podd:b0,d5:r164:peven:b2,visible,d4:r27:podd:b0,1437,1424,11,11,11,0,2,0,1435,2,0.998608211552,0.001391788448,yes,yes,yes,yes,yes,yes
calibration,5,44,8,11264,29,11136,d5:r44:peven:b2,d5:r176:peven:b2,visible,d4:r29:podd:b0,1606,88,1516,1505,1505,0,2,11,1593,13,0.991905354919,0.008094645081,yes,yes,yes,yes,yes,yes
calibration,5,44,9,22528,29,22272,d5:r44:peven:b2,d5:r176:peven:b2,visible,d4:r29:podd:b0,2967,178,2787,2763,2763,0,2,24,2941,26,0.991236939670,0.008763060330,yes,yes,yes,yes,yes,yes
calibration,5,44,10,45056,29,44544,d5:r44:peven:b2,d5:r176:peven:b2,visible,d4:r29:podd:b0,6013,324,5687,5598,5598,0,2,89,5922,91,0.984866123399,0.015133876601,yes,yes,yes,yes,yes,yes
calibration,5,47,8,12032,31,11904,d5:r47:podd:b0,d5:r188:peven:b2,visible,d4:r31:podd:b0,1410,733,675,675,675,0,2,0,1408,2,0.998581560284,0.001418439716,yes,yes,yes,yes,yes,yes
calibration,5,47,9,24064,31,23808,d5:r47:podd:b0,d5:r188:peven:b2,visible,d4:r31:podd:b0,2849,1428,1419,1419,1419,0,2,0,2847,2,0.999297999298,0.000702000702,yes,yes,yes,yes,yes,yes
calibration,5,47,10,48128,31,47616,d5:r47:podd:b0,d5:r188:peven:b2,visible,d4:r31:podd:b0,5549,2822,2725,2724,2724,0,2,1,5546,3,0.999459362047,0.000540637953,yes,yes,yes,yes,yes,yes
calibration,5,50,8,12800,33,12672,d5:r50:peven:b1,d5:r200:peven:b2,visible,d4:r33:podd:b0,236,225,9,9,9,0,2,0,234,2,0.991525423729,0.008474576271,yes,yes,yes,yes,yes,yes
calibration,5,50,9,25600,33,25344,d5:r50:peven:b1,d5:r200:peven:b2,visible,d4:r33:podd:b0,447,435,10,10,10,0,2,0,445,2,0.995525727069,0.004474272931,yes,yes,yes,yes,yes,yes
calibration,5,50,10,51200,33,50688,d5:r50:peven:b1,d5:r200:peven:b2,visible,d4:r33:podd:b0,941,928,11,11,11,0,2,0,939,2,0.997874601488,0.002125398512,yes,yes,yes,yes,yes,yes
calibration,5,53,8,13568,35,13440,d5:r53:podd:b0,d5:r212:peven:b2,visible,d4:r35:podd:b0,4050,62,3986,3982,3982,0,2,4,4044,6,0.998518518519,0.001481481481,yes,yes,yes,yes,yes,yes
calibration,5,53,9,27136,35,26880,d5:r53:podd:b0,d5:r212:peven:b2,visible,d4:r35:podd:b0,7953,115,7836,7811,7811,0,2,25,7926,27,0.996605054696,0.003394945304,yes,yes,yes,yes,yes,yes
calibration,5,53,10,54272,35,53760,d5:r53:podd:b0,d5:r212:peven:b2,visible,d4:r35:podd:b0,15374,208,15164,15094,15094,0,2,70,15302,72,0.995316768570,0.004683231430,yes,yes,yes,yes,yes,yes
calibration,5,56,8,14336,37,14208,d5:r56:peven:b2,d5:r224:peven:b2,visible,d4:r37:podd:b0,1368,150,1216,1216,1216,0,2,0,1366,2,0.998538011696,0.001461988304,yes,yes,yes,yes,yes,yes
calibration,5,56,9,28672,37,28416,d5:r56:peven:b2,d5:r224:peven:b2,visible,d4:r37:podd:b0,3056,325,2729,2718,2718,0,2,11,3043,13,0.995746073298,0.004253926702,yes,yes,yes,yes,yes,yes
calibration,5,56,10,57344,37,56832,d5:r56:peven:b2,d5:r224:peven:b2,visible,d4:r37:podd:b0,6102,603,5497,5453,5453,0,2,44,6056,46,0.992461488037,0.007538511963,yes,yes,yes,yes,yes,yes
calibration,5,59,8,15104,39,14976,d5:r59:podd:b0,d5:r236:peven:b2,visible,d4:r39:podd:b0,542,531,9,9,9,0,2,0,540,2,0.996309963100,0.003690036900,yes,yes,yes,yes,yes,yes
calibration,5,59,9,30208,39,29952,d5:r59:podd:b0,d5:r236:peven:b2,visible,d4:r39:podd:b0,1010,998,10,10,10,0,2,0,1008,2,0.998019801980,0.001980198020,yes,yes,yes,yes,yes,yes
calibration,5,59,10,60416,39,59904,d5:r59:podd:b0,d5:r236:peven:b2,visible,d4:r39:podd:b0,2166,2153,11,11,11,0,2,0,2164,2,0.999076638966,0.000923361034,yes,yes,yes,yes,yes,yes
calibration,5,62,8,15872,41,15744,d5:r62:peven:b1,d5:r5:peven:b2,visible,d4:r41:podd:b0,967,385,580,580,580,0,2,0,965,2,0.997931747673,0.002068252327,yes,yes,yes,yes,yes,yes
calibration,5,62,9,31744,41,31488,d5:r62:peven:b1,d5:r5:peven:b2,visible,d4:r41:podd:b0,1841,728,1111,1111,1111,0,2,0,1839,2,0.998913633895,0.001086366105,yes,yes,yes,yes,yes,yes
calibration,5,62,10,63488,41,62976,d5:r62:peven:b1,d5:r5:peven:b2,visible,d4:r41:podd:b0,3586,1446,2138,2138,2138,0,2,0,3584,2,0.999442275516,0.000557724484,yes,yes,yes,yes,yes,yes
